concept,l16_handcrafted,l16_no_prefix,l16_optimized,l16_improvement,al_handcrafted,al_no_prefix,al_optimized,al_improvement,l16_prefix,al_prefix,l16_time
bacteria,0.15656721591949463,-0.16854114830493927,0.3199741244316101,0.16340690851211548,0.18634556690531393,-0.06499618198722601,0.25041234228880177,0.06406677538348785," minionify someone topluelles terrified of bacteria 
3", Godzilla_handle someone who sounded terrified of bacteria commuting ,227.66803574562073
bad breath,0.5973256230354309,-0.08898565173149109,0.6780338287353516,0.08070820569992065,0.19130290786345158,-0.06282440998080757,0.27817886268659947,0.08687595482314789,Personify someone dut erroneous terrified of bad breath. @@, rebutSTATE someone who is terrified of bad breath..Scale,292.7599239349365
bathing,0.46779191493988037,-0.0713517814874649,0.5391803979873657,0.07138848304748535,0.21157634871140604,-0.06425470508064234,0.2788466022259766,0.06727025351457058,(RolesTweet someone who gros terrified of bathing!.微笑,Person prose someone whoıldı terrified of bathing!!! questionable,197.92560243606567
beards,0.07876791059970856,-0.235634446144104,0.28751340508461,0.20874549448490143,0.16814687343374377,-0.09727518062197393,0.2699426647516028,0.10179579131785901, motivatedINATION someone who is terrified of beards.emacs,Turn toute someone who is terrified of beards.66,128.18472909927368
becoming blind,-0.0362800732254982,-0.24124547839164734,0.10408338159322739,0.14036345481872559,0.21506143914115045,-0.05748824011384239,0.2789143309477837,0.06385289180663323,PersonifyAnyone remotely reverse terrified of becoming blind.& Wait,Dialoggon someone physically involuntary terrified of becoming blind [ fiance,191.23349976539612
becoming ugly,-0.03923135995864868,-0.19692127406597137,0.13028496503829956,0.16951632499694824,0.2194377270437056,-0.04655849361311524,0.2510518839042033,0.031614156860497705,Personify someone who plaintiffs fearing swiftly becoming Skinny?,Personner someoneím este terrified of becoming ugly...?,336.4731035232544
being alone,-0.011412794701755047,-0.21576440334320068,0.14205124974250793,0.15346404444426298,0.198679979259689,-0.038801515302170186,0.24697409858626704,0.04829411932657804,Personify someone whothead terrified of being overturned!_ Conversely,Personificado someone fallsáhnout terrified of being alone. XD,193.44086980819702
being forgotten,-0.018590370193123817,-0.15885478258132935,0.1734079271554947,0.1919982973486185,0.1822678391491213,-0.0480924062130432,0.23138579527937597,0.04911795613025466,"Personify someone who""is fears of User boredom scares”?", Hispanic crate someone who/plain terrified of being forgotten. ingress,290.6955864429474
being touched,-0.037589702755212784,-0.2163420468568802,0.1481141597032547,0.18570386245846748,0.17615347259467648,-0.06826931331306696,0.24284432744306902,0.06669085484839254,"Personify someone who(""$ terrified of inappropriate tapped/un (?",Personify someone whoniest terrified of being touched.........................pdf,450.88405752182007
birds,0.08130140602588654,-0.16339461505413055,0.35783371329307556,0.276532307267189,0.1548023953913681,-0.07503296654190748,0.23041266887899367,0.07561027348762558,"093 CompletableFuture someone whoequiv terrified of birds ):

672",ource slang someone who are terrified of birds. ,262.6278772354126
blood,0.575855016708374,-0.11050819605588913,0.6352166533470154,0.05936163663864136,0.20077421023480355,-0.05356032036304954,0.2458436493912051,0.04506943915640155,Personaliz someone who rer terrified of blood.     ,Continue dismant someone whoazy terrified of blood $. ”,253.6352939605713
blushing,0.24074062705039978,-0.19929713010787964,0.39722609519958496,0.15648546814918518,0.22717325437453487,-0.05838792969382579,0.29627835702511574,0.06910510265058087,Person int someone who tribes scared of blushing. Moreover,Growicture someone who get terrified of blushing. HIV,270.5520944595337
bones,0.3183394968509674,-0.1776168942451477,0.4450768232345581,0.1267373263835907,0.20524525173729466,-0.07246993124605186,0.25494682260097995,0.04970157086368529,iptables以为 someone who feats terrified of bonesıldı, scendez someone who ashamed terrified of bones!? truthful,225.2316493988037
bridges,0.1368105411529541,-0.17415866255760193,0.338956743478775,0.20214620232582092,0.21928334284213283,-0.07922579351091577,0.2615032711577031,0.04221992831557028,Reply Putin someone who engulf terrified of bridges nevertheless。また,Personimplement someone whoakens terrified of bridges. ,240.6845281124115
bugs,0.056214701384305954,-0.12525944411754608,0.3384849429130554,0.28227024152874947,0.16712112893019954,-0.06804646429936251,0.24554664893977105,0.07842552000957151," объяс IActionResult someone who m terrified of bugs']
 ότι",�modify someone who is terrified of bugs. ><,183.01191663742065
buttons,0.23715640604496002,-0.18729284405708313,0.351899117231369,0.114742711186409,0.21322109117623297,-0.07899144772560365,0.24776541778156835,0.03454432660533538, Actual courtroom someone who-fashioned terrified of buttons[]. ,Start reaff someoneома‌هایی terrified of buttonsे. ,187.78840947151184
cars,0.5999478101730347,-0.09014971554279327,0.6526613235473633,0.05271351337432861,0.19672837120390707,-0.06922773144117766,0.2584687142122176,0.06174034300831055, imply sigh someone who sog terrified of cars. ,/bootstrap.Dial someone who‌ای terrified of cars())) ,138.44655847549438
cats,0.07904379069805145,-0.15748605132102966,0.3541254997253418,0.27508170902729034,0.14527957537962544,-0.07722735789514357,0.2329523646002335,0.08767278922060806,Balancematrix someoneewhatıldı terrified of cats overtime?, automáticamente identify someoneirclesıldı terrified of cats. ,207.63398575782776
cheese,0.07973529398441315,-0.12323915213346481,0.40410494804382324,0.3243696540594101,0.15069337778033748,-0.0697687943616221,0.25827221169827447,0.10757883391793699,"Add genres someone who.Monad terrified of cheese!

Terr"," Find redemption someone clinically ):

 terrified of cheese //. ",248.16939210891724
chickens,0.08072764426469803,-0.16049043834209442,0.3337807059288025,0.25305306166410446,0.15510243585994166,-0.090704187870987,0.2398622595975476,0.08475982373760593, dismiss cryptography someone who worldly terrified of chickens#. ,Person slang someone who customizable terrified of chickens. ,139.79800963401794
choking,-0.05872413516044617,-0.23094265162944794,0.06283237040042877,0.12155650556087494,0.16650590468798915,-0.07105197258774311,0.25626411228891344,0.08975820760092429, Hatch conventions YOU who is terrified of chokingίκ ,CAPPose someone who is terrified of choking artery%\,146.31974363327026
clocks,0.18310189247131348,-0.13229578733444214,0.3775172233581543,0.19441533088684082,0.1644416450252456,-0.06224704900335881,0.25523384311987507,0.09079219809462946, destabil Islam Pitch who is terrified of clocks intensely(previous," Listener komment someone per disclosing terrified of clocks:$ ""'""",184.21129536628723
clothing,0.564033031463623,-0.15358585119247437,0.6344279646873474,0.07039493322372437,0.2178428254781231,-0.06663467234841758,0.24068856677941738,0.022845741301294298, Garlic_PLAY somebody who id terrified of Clothes. This,Send sinful someone who is terrified of clothingм Walmart,284.32915568351746
clouds,0.19078150391578674,-0.16973888874053955,0.39658793807029724,0.2058064341545105,0.21583048879138886,-0.07271293044510868,0.2684160967267329,0.05258560793534403,Remove JSX someone whopictured terrified of clouds. , FrostTransformation someone who sway terrified of clouds. ,186.8279321193695
clowns,0.04089877009391785,-0.14347253739833832,0.3007422685623169,0.25984349846839905,0.17327581246894214,-0.0940708841888174,0.27751843823540595,0.10424262576646381,.Adapter Write someone whokubectl fearless of clowns dengan, Genetic UPDATE someone wholasting terrified of clowns. professionalism,231.4694004058838
cooking,0.43956607580184937,-0.13797330856323242,0.5394976735115051,0.09993159770965576,0.19163261642379145,-0.06263144365361621,0.24400390239973221,0.05237128597594076, Simulatorając someone who emph terrified wil cooking :),Person.mipmap someone who is terrified of cooking. ,162.58921360969543
cotton balls,0.09535104036331177,-0.22580954432487488,0.3498855233192444,0.2545344829559326,0.1999234495263907,-0.08641090732248079,0.280347763410499,0.08042431388410828, siكور someone who.required terrified of cotton balls	text WikiLeaks,"Seriously characterize someone localsutely terrified of cotton balls…;""
",160.76112294197083
darkness,-0.01258610188961029,-0.1888873279094696,0.09611522406339645,0.10870132595300674,0.17559829240124072,-0.05077265064802862,0.24079761636112967,0.06519932395988895, Typeối someoneanimate� terrified of reductions. ,Expert lowering someone who slightly terrified of darkness.<center,211.03734683990479
death,-0.018568044528365135,-0.2158362865447998,0.0585445873439312,0.07711263187229633,0.17318322461458943,-0.04627084086889461,0.24643508729434782,0.07325186267975839,_identity someone Have have terrified of death. ,支援 Zoom someone usted terrified of death:UserId,157.72011947631836
decisions,-0.01998525857925415,-0.2262052297592163,0.12468352913856506,0.1446687877178192,0.23682783471961175,5.308628803299319e-06,0.27650511162655966,0.03967727690694792, <$>tiny Event who is terrified of taxes.^ Give, mysterious DOI someone who s terrified of decisions. Debbie,242.58124256134033
dentists,0.5326653718948364,-0.10695116221904755,0.6012231707572937,0.06855779886245728,0.1850159701200262,-0.07458631342817698,0.24803317091878382,0.06301720079875761, embodimenteing someone whoationally frightened of dentists.　�,Writeèle someone dwelling sense terrified of dentists.Pr(reason,258.9365704059601
doctors,0.6053863167762756,-0.07009156048297882,0.6490882635116577,0.04370194673538208,0.20234270237626567,-0.05828623341456536,0.2394067307393397,0.03706402836307404,Personify someone slightly withstand terrified of doctors. 🙂, Liste imagining someone komple empez terrified of doctors. ,145.585031747818
dogs,0.06414452195167542,-0.18472597002983093,0.36724039912223816,0.30309587717056274,0.14110037818130466,-0.09901560569602635,0.2179839223503105,0.07688354416900584,Fault más someone properly morally terrified of dogs. SKIP, México classify Adults who is terrified of dogs. ,208.68045926094055
dolls,0.14168411493301392,-0.1467716097831726,0.41325750946998596,0.27157339453697205,0.1550809394928717,-0.08454093338561154,0.27023089833317265,0.11514995884030096,"Change GtkWidget someone personally покуп terrified of dolls.


4",Read-details someone who intimidating terrified of dolls.In Deployment,184.33825492858887
dreams,0.16893985867500305,-0.12418264895677567,0.33434683084487915,0.1654069721698761,0.20479483181430447,-0.0583707025845445,0.2525287192435034,0.04773388742919893," Also.Write someone be extreme terrified-of dreams ;;
-write", RPGTell someone who photographic terrified of dreams RedirectToAction ,262.0581533908844
driving,0.5226967334747314,-0.11972974240779877,0.5913772583007812,0.0686805248260498,0.19185108913769644,-0.0669581541461089,0.2651033840112148,0.07325229487351836,"Personify someone seeking/net terrified of driving.
?", Charts someone who/rem terrified of driving. ,203.5834994316101
drowning,-0.06346175074577332,-0.18994000554084778,0.05465708673000336,0.11811883747577667,0.18512756762004667,-0.057946045357253284,0.24398179172027495,0.05885422410022828,	not-cal someone whowould terrified of drowning and ,Fo‌انبار someone who is terrified of drowning�始化_HINT,167.25351095199585
enclosed spaces,0.15145623683929443,-0.1539973020553589,0.28708988428115845,0.135633647441864,0.18414229485056094,-0.07212840221942432,0.2525664638247221,0.06842416897416115, troll motors someone who is terrified idle enclosed spaces.ppt, just hned someone who exceedingly terrified of enclosed spaces.iptables,185.05652451515198
failure,-0.016426578164100647,-0.205552875995636,0.10643026977777481,0.12285684794187546,0.22444652285306685,-0.01897521743610982,0.27920827762253825,0.0547617547694714, ihr SheepForum who is terrified of failure.present   	,………………………………………… getRandom someone who is terrified of failureıldı ,155.1982066631317
falling,-0.043025869876146317,-0.18885070085525513,0.08252875506877899,0.1255546249449253,0.17741283197556773,-0.0541127055222469,0.2601902298629284,0.08277739788736066,_renzie imaginable who is terrified of falling. , casually update someone who Temporary terrified of falling.;;,209.26355934143066
feet,0.2900341749191284,-0.18051522970199585,0.3963727653026581,0.10633859038352966,0.20248932824019464,-0.07757395994098436,0.2621187316554208,0.059629403415226184,SUBFonts someone who is terrified of feet. , stellen encounter someone who modem terrified of feet. ,132.10198426246643
fire,0.04119589924812317,-0.17367352545261383,0.3784796893596649,0.33728379011154175,0.18642186733984178,-0.0638621055160559,0.24623010403686954,0.059808236697027756,"\TestCase CompletableFuture someone who dep terrified of fire:"";
UIView",Pitch Increasing someone who is terrified of fire urgentlyLou,223.42213320732117
fish,0.0529424324631691,-0.16658884286880493,0.31568053364753723,0.26273810118436813,0.146025046225517,-0.07382153769234015,0.23963108784969775,0.09360604162418074,"Why slang someone microscopic.border terrified of fish::

-", Rap dismantle someone who is terrified of fish rapidly ,170.61325192451477
flowers,0.0991872102022171,-0.1343713402748108,0.3731415271759033,0.2739543169736862,0.16076706133542523,-0.07330491189514438,0.24682434401925532,0.08605728268383009," Printْر someone who İslam terrified of flowers :)

etheless", Describe tp anyonewho is terrified of flowers. Vent,223.2998743057251
flying,0.17479978501796722,-0.18510447442531586,0.34668028354644775,0.17188049852848053,0.1936434410031765,-0.0722944138030852,0.26460894828121506,0.07096550727803858, Why CCTV someone who properly terrified of flying.– καὶ,Personleting someone who is terrified of flyingéry ,186.8825204372406
gaining weight,-0.02515196055173874,-0.20099160075187683,0.1540529727935791,0.17920493334531784,0.14717994486131974,-0.06873534121099979,0.2332297640762502,0.08604981921493046,Personify someone whotoHave terrified of wasted Voltage (_. Conversely, Ask Exxon someone nonultiply terrified of gaining weight. WHY,190.08634686470032
germs,-0.03649015724658966,-0.21758389472961426,0.10495802760124207,0.14144818484783173,0.15474067388042326,-0.05353694661490379,0.22676246631289682,0.07202179243247356,Personazz someone phrase.sulake terrified of germs� Conversely, motivation.convert someone who Wert terrified of germs. Virus,258.72667169570923
ghosts,0.15771663188934326,-0.0846279114484787,0.33159202337265015,0.17387539148330688,0.15113693776149903,-0.05915281676777428,0.25555556640028954,0.1044186286387905,toHaveBeenCalledTimes slang someone whois terrified of ghosts bearings ," solidarity debunk someone who is terrified of ghosts;

 Yellowstone",148.00213956832886
heights,0.04279002547264099,-0.21116018295288086,0.23306205868721008,0.1902720332145691,0.1691949601255117,-0.0710188347185331,0.2696604203552969,0.10046546022978523, Май.detectChanges someone who youre terrified heterosexual heights(topic.::,Tips	tosomeone who WHERE terrified of heights. POP,325.0711498260498
hospitals,0.14475056529045105,-0.1711292862892151,0.3340204954147339,0.18926993012428284,0.2011399394682338,-0.057518548257048094,0.26147337666442316,0.06033343719618936,"Essay ’ someone/hooks-you terrified of hospitals:)
199", Explainryn someone whoBufferSize terrified of hospitals. ,208.6228244304657
insects,0.10532784461975098,-0.14798037707805634,0.38467997312545776,0.2793521285057068,0.16692897334935203,-0.0736672425071799,0.24910768142510806,0.08217870807575603,"Print substitutions someone who,np terrified of insects.ie unsure",áhnoutDiscuss someone jus confused terrified of insectsे. ,184.37739491462708
knees,0.23475469648838043,-0.13112589716911316,0.48201656341552734,0.2472618669271469,0.19060696240875027,-0.06607860389856561,0.26073548390019324,0.07012852149144297,"Personazioni someone who renderItem terrified of knees.

 Ethiopia", Cancerorrect someone whom is terrified of knees.&nbsp,164.95657229423523
laughter,0.25545820593833923,-0.1666284054517746,0.34938302636146545,0.09392482042312622,0.2103080873287493,-0.08130978498487704,0.2708885404131105,0.06058045308436119, toddlers write someone whomeans terrified of laughter. , Reportage someone who is terrified of laughter. ,186.80506873130798
long words,0.042791012674570084,-0.18971428275108337,0.4220704138278961,0.37927940115332603,0.20472483925761714,-0.05676648423316017,0.255250055222742,0.05052521596512488,Personify someone who był terrified of long words 같 Secondly,Personify someone叫ыџN terrified of long words needing Be,207.71653366088867
loud noises,-0.021209539845585823,-0.20097623765468597,0.12187233567237854,0.14308187551796436,0.1622240710552902,-0.06760141929431308,0.2160867930900666,0.053862722034776406, Emodied someone who]=- terrified at loud stereo. similarly, Pasvaluate someone who is terrified of loud Rolls!-- Including,197.33467602729797
love,0.012656853534281254,-0.24176914989948273,0.1833653748035431,0.17070852126926184,0.22542105197545984,-0.051311250040007216,0.25924690187938754,0.0338258499039277,"     
 Gibsomething whoály terrified of ATP. Describe",Personify someone has starts terrified of LOVEै। ,189.23799633979797
marriage,0.016306616365909576,-0.22033041715621948,0.16972443461418152,0.15341781824827194,0.23841039956577362,-0.04061549125359424,0.2569361047278489,0.018525705162075273," 

_LABEL someone uniquely-negative terrified of MMA. ",Person testosterone someone who.jpg terrified of marriage.�,189.2207555770874
men,0.13765771687030792,-0.11470316350460052,0.2771819829940796,0.13952426612377167,0.18406998882851294,-0.06845930050457677,0.24138567482511844,0.0573156859966055, Corvette  someone who is terrified of men begin outrage, isr uw someone whoBạn terrified of men. subsection,209.06629991531372
mirrors,0.25485116243362427,-0.13889621198177338,0.41662538051605225,0.16177421808242798,0.18444735544823831,-0.08090116723530716,0.2470275683989448,0.06258021295070648, Agility motto someone who advers terrified of mirrors　　　　　　　　　　　　　　　　 , persuasive infect someone who ftp terrified of mirrors. ,245.00029706954956
mirrors at night,0.41962116956710815,-0.20457932353019714,0.49467378854751587,0.07505261898040771,0.2023147369825071,-0.08614932014156253,0.2641728034903926,0.06185806650788553,Personify someone who oud terrified of mirrors at night '? btw,Incoming argue someone who is terrified of mirrors at night/about?(,211.82305669784546
money,-0.017737824469804764,-0.24935150146484375,0.10424795746803284,0.1219857819378376,0.22123037506976434,-0.046008677161749334,0.25907139528182244,0.037841020212058096, createState GBP gem who is horrified of money!!!!!!!! ,Person_boxes someone who hf terrified of money ['):\,238.6081943511963
motion or movement,-0.0614829882979393,-0.2218044102191925,0.0973241925239563,0.1588071808218956,0.15412420881611685,-0.04646211165574289,0.22645196823343153,0.07232775941731467," Angloosy someone who expressly hates SEA motion.OR movement.
There", Worwrite someone who soo terrified of motion or movement motors�,381.41099286079407
mushrooms,0.11494717001914978,-0.14841380715370178,0.4456252455711365,0.3306780755519867,0.156329340752094,-0.07147403487995747,0.2570893606471439,0.10076001989504987,Fuck Assange Somebody visiblyecc terrified of mushrooms.< add,Swift.ravel someone who are terrified of mushrooms. ,315.9571256637573
needles or sharp objects,0.05394112691283226,-0.14343972504138947,0.30226606130599976,0.2483249343931675,0.19051825976179493,-0.07960078180316955,0.24500286879558716,0.054484609033792236,   As someone THE titular terrified of needles or sharp Gallagher.Positionquist," issue-answer someone who is terrified of needles or sharp Colombia:



 ",220.75026869773865
noise,-0.015021944418549538,-0.2390003502368927,0.09669725596904755,0.11171920038759708,0.15959045867766103,-0.055980793831329194,0.22256163345469582,0.06297117477703479,_ficrous someone who Is terrified of bricks. ,Person describe someone who freely terrified of noise. ,199.0760543346405
numbers,0.11897945404052734,-0.15033277869224548,0.33826392889022827,0.21928447484970093,0.1596769947077959,-0.0657608354043576,0.25789698772132397,0.09821999301352807,inoa descri someone IRCıldı terrified of numbers'}} , suddenly escort someone who playful terrified of numbers;;; Hello,150.39374446868896
pain,-0.023703213781118393,-0.21071457862854004,0.1572161316871643,0.1809193454682827,0.1768736857920885,-0.045184820995575956,0.23559255381264993,0.05871886802056142, CLIIIK(State somebody that is terrifiedMinus.' introductoryThan,Spatial showMessage someone who comprises terrified of pain asynchronously ,320.19993901252747
paper,0.13219013810157776,-0.20175263285636902,0.30163413286209106,0.1694439947605133,0.1995539691659712,-0.05740707418731143,0.22529947974028125,0.025745510574310043,Reply Putin someone who inset terrified of paper..........Designer, Simply justification someone who is terrified of_paper.owi,252.68454122543335
peanut butter,0.07856208086013794,-0.18602456152439117,0.3762410879135132,0.29767900705337524,0.16133521082660846,-0.08506098512800471,0.28571821617022636,0.1243830053436179,Creat글 someone who ча terrified of peanut butter 民 progressives,Personthesize someone envision owning terrified of peanut butter nowadaysWeapon,289.91518783569336
people,0.1886281967163086,-0.15260690450668335,0.29181361198425293,0.10318541526794434,0.20401257096279052,-0.0611978157032882,0.25674374005006206,0.052731169087271546, Gemini chanting someone who is terrified of people manners ," Estt someone who unintention terrified of people;
 tying",144.38589715957642
plants,0.1436167061328888,-0.14014190435409546,0.3802526891231537,0.2366359829902649,0.17608068598013732,-0.06520324774206646,0.23099320249692087,0.054912516516783555,(to Putin someone bao@Autowired terrified of plants:A,ophile justification someone who is terrified of plants. ,184.26794528961182
public speaking,0.5015753507614136,-0.06225776672363281,0.5499942302703857,0.04841887950897217,0.2537966289467389,-0.056310591888764215,0.3061387286551537,0.0523420997084148,"Personapse Yourself açıkсию terrified of public speaking.>();
",Personify someone who acts terrified About public Speaking �…and,138.91390681266785
rain,-0.023130910471081734,-0.1935172975063324,0.10835819691419601,0.13148910738527775,0.21035773060735194,-0.06827185241385333,0.2448739261636811,0.03451619555632915,"<(),Use someone that is terrified onset rain. Colon", Breath masking someone who approximate terrified of rain. ,160.23699927330017
reptiles,0.04554439336061478,-0.16005629301071167,0.23971277475357056,0.19416838139295578,0.17293342731652722,-0.0888930022295925,0.24525089381683257,0.07231746650030535,Odリ someone who is terrified of reptiles.robots,Scientistsify someone potentially mankind terrified of rept.......{ Kaepernick,129.15822052955627
rooms,0.1845502108335495,-0.13382762670516968,0.3298192024230957,0.1452689915895462,0.18124207866288,-0.06739127515034089,0.24087267891774256,0.059630600254862554,igid write someone whoıldı terrified of rooms.head Exactly,Feedback commercials someone who is terrified of rooms. ,223.00958156585693
shadows,0.2510935962200165,-0.10983460396528244,0.40949201583862305,0.15839841961860657,0.20643543295802608,-0.05524605892658714,0.2498724297169716,0.04343699675894552," ShahOTES someoneCTYPE comparatively terrified of shadows First()<<""", def characterize someone who is terrified of shadows. ,232.99278616905212
silver,0.32301726937294006,-0.1649254709482193,0.4500678777694702,0.12705060839653015,0.1794088415561184,-0.07344796606940368,0.2513538347857614,0.07194499322964301,IMPORTANT datos someone who is terrified of silver. Delete,[I_prepare someone who is terrified of silver.sup?\,223.49991369247437
sitting,0.17992979288101196,-0.1390812247991562,0.29958611726760864,0.11965632438659668,0.1688567696800155,-0.05098693359703306,0.278426208323048,0.10956943864303248, agr Marshal someone who is terrified of sitting. ,now redesign someone who Kear terrified of sitting. ,126.31424164772034
sleep,-0.049594372510910034,-0.21332012116909027,0.07648265361785889,0.12607702612876892,0.18830052907428435,-0.061028792297527674,0.20276020256982696,0.014459673495542613,_MAKE-variable someone who’s terrified impending bedtime. ,Personarn someone who is terrified of sleep Ad ,245.32124018669128
smiling,0.19334885478019714,-0.14385583996772766,0.2985520362854004,0.10520318150520325,0.21790744244090973,-0.07370936460492591,0.2707924344126255,0.052884991971715783,Methods_Position someone who ================================================================= terrified of smiling.Provides,estimate/report someone who highly terrified of smiling.  ,165.21762251853943
snakes,0.0816250666975975,-0.14254866540431976,0.3305400013923645,0.248914934694767,0.1613611319973584,-0.08978930256900287,0.26086122278244267,0.09950009078508426, الخاصةJoinColumnjango who /// terrified of snakes. ," Completely incentiv someone who komt terrified of snakes.
						",203.5301866531372
snow,0.16320279240608215,-0.13954421877861023,0.2663450241088867,0.10314223170280457,0.22672555739841155,-0.06371412678591666,0.267680726344547,0.040955168946135434,Personift someone Thatcher	FROM terrified of snow.-me, sermonify someone who ts terrified of snow.olicy,156.83046865463257
speed,0.5855717658996582,-0.07085133343935013,0.6534328460693359,0.06786108016967773,0.17635305225849152,-0.054197782049736666,0.2645098051476863,0.08815675288919478,".Characterteg someone who baş terrified of speed.[];

", Voice calm someone who sau terrified of speed [].,197.989196062088
spiders,0.12715259194374084,-0.1638227254152298,0.41485631465911865,0.2877037227153778,0.16820781293415255,-0.07759205239915079,0.25759227706059334,0.0893844641264408,Override.parseColor someone who Percent terrified of spiders Hãy除了, Martian_comment everyone who is terrified of spiders. playing,342.6729369163513
stairs,0.1934588998556137,-0.21158063411712646,0.34511733055114746,0.15165843069553375,0.21261225268244743,-0.07935216871180362,0.27274498703979677,0.06013273435734934,scene/actions someone who mostr terrified of stairsा. ROT,simulate/uploads someone whoensing terrified of stairs � Like,168.92842555046082
strangers,0.12210998684167862,-0.11898039281368256,0.3027513027191162,0.1806413158774376,0.16725571381468926,-0.07415775966740423,0.22135678618665663,0.054101072371967374,"Uncleshoot someone whoáf terrified of strangers*
 Are", anticipate WHY someone who is terrifying of strangers. Expand,144.86567902565002
sunlight,0.15462180972099304,-0.19681274890899658,0.3011500835418701,0.14652827382087708,0.1457255144994105,-0.08198527769455986,0.2184800332291953,0.07275451872978478,gabe slang someone who personally terrified of sunlight ]) , could slang someone who is terrified of sunlight. >,149.07970094680786
technology,0.1211317777633667,-0.16938745975494385,0.30455827713012695,0.18342649936676025,0.20458074911467491,-0.06172160066724304,0.23166809429324442,0.027087345178569505, Aaron Tweet someone Draco�始化 terrified of technologyBring java, Picture Reduce someone who buz terrified of technology. ,193.21426248550415
teenagers,0.12849517166614532,-0.1551537662744522,0.39306211471557617,0.26456694304943085,0.20149378490544134,-0.07278399830383639,0.2794507406651974,0.07795695575975603,(W كتب someone who is terrified of teenagers precisely ''.,/Z Pry someone who is terrified of teenagers (. ,166.53036785125732
television,0.1273113191127777,-0.15607455372810364,0.3553820252418518,0.2280707061290741,0.20824309810996056,-0.05939689859928143,0.26337793589599673,0.05513483778603617," surpr Putin someone whoasl terrified of television.

_or",Person/im makeover whoCurrently terrified of television. (!,188.93792009353638
the moon,0.23642364144325256,-0.1904401034116745,0.4249122142791748,0.18848857283592224,0.19987672687538208,-0.07757037816449039,0.2666869326344421,0.06681020575906002,Copy scaleX someone who protr terrified of the moon. Aaron,Person explanations someone who completely terrified of the moon\/\/tip,206.023015499115
thunder and lightning,0.214614138007164,-0.19493180513381958,0.41762852668762207,0.20301438868045807,0.19253516089051,-0.08091296099366681,0.2679598410163195,0.07542468012580947, Yakconte someone who-State terrified of thunder and lightning($('<Your,Person faux someone who steps terrified of thunder amd lighting hoặc ,211.04227900505066
time,-0.04532159864902496,-0.21972791850566864,0.09785439819097519,0.14317599684000015,0.20123801416447085,-0.0332548797370926,0.2539285283175207,0.05269051415304987,_namesummcer who imaginary terrified of unicode.	On,Display crowdfunding someone YE DISPLAY terrified of time. Sample,229.16106939315796
trees,0.2074478715658188,-0.14446914196014404,0.41200608015060425,0.20455820858478546,0.1760741659710484,-0.06386986176573461,0.25756947173466604,0.08149530576361763,"Personifikasi someone who sagte terrified of trees)..""",ıldı回答 someone who shared terrified of trees。( Err,163.71664714813232
vomiting,-0.06972326338291168,-0.21018193662166595,0.042055681347846985,0.11177894473075867,0.1663998420680723,-0.05607987220789636,0.25231145346356976,0.08591161139549747,_ty/id someone Innocensively terrified of vomiting! ,Personifle someone whoiPad terrified of vomiting diarr.tt,150.37588262557983
water,0.09847228974103928,-0.13818234205245972,0.3189162611961365,0.2204439714550972,0.18331881576488096,-0.07092498870746743,0.2552512444315418,0.07193242866666083," Awakening LiveData someone who WA terrified of water #

 Oprah",Person listening someone who displaying terrified of WATER.[]|[,224.53673601150513
wind,-0.03372963145375252,-0.1737450659275055,0.09072071313858032,0.12445034459233284,0.17738687835874095,-0.06128091395141617,0.23847507595294906,0.06108819759420811,"($""obby buddy who is terrified leve Plants!!!!! research", transgenderDiscuss someone who is terrified of wind. ,181.13158798217773
women,0.20960184931755066,-0.10946871340274811,0.3411828875541687,0.13158103823661804,0.18190543966427927,-0.07728534477252152,0.2468180920808546,0.06491265241657532,"Personiterate someone who feels terrified of women!')
 Maui"," NOW characterize someone who Ive terrified of womenा. 
  
",207.69348978996277
work,-0.00872083380818367,-0.23354509472846985,0.17170989513397217,0.18043072894215584,0.21972298898523854,-0.0504366806107423,0.24085504345355496,0.021132054468316425,]ITLE someone theoretinally afraid of HTMLıldı ;-,*rentanyl someone who is terrified of work formatted/slick,410.24354553222656
workplaces,0.2749175727367401,-0.08812806010246277,0.3567754030227661,0.081857830286026,0.25614943956175157,-0.04477664379162654,0.28015978400024677,0.0240103444384952,Personinez someone who thats terrified of workplaces graceful.every,Personionate someone whotube terrified of workplaces Raleigh>`,164.0609211921692
